#timestamp, padding_multiplier
1592892000,1
1592910000,10
1592924400,10
1592971200,10
1592978400,10
1593014400,10
1593021600,10
1593061200,10
1593068400,10
1593072000,10
1593075600,10
1593079200,10
1593090000,10
1593147600,10
1593158400,10
1593172800,10
1593176400,10
1593183600,10
1593187200,10
1593241200,10
1593248400,10
1593255600,10
1593270000,10
1593284400,10
1593324000,10
1593334800,10
1593342000,10
1593403200,10
1593410400,10
1593421200,10
1593428400,10
1593432000,10
1593446400,10
1593489600,10
1593493200,10
1593496800,10
1593500400,10
1593504000,10
1593514800,10
1593518400,10
1593525600,10
1593536400,10
1593583200,10
1593590400,10
1593594000,10
1593597600,10
1593612000,10
1593615600,10
1593622800,10
1593662400,10
1593666000,10
1593673200,5
1593680400,5
1593691200,5
1593694800,5
1593698400,5
1593709200,5
1593756000,5
1593766800,5
1593774000,5
1593784800,5
1593799200,5
1593846000,5
1593860400,5
1593885600,5
1593950400,5
1594015200,5
1594022400,5
1594069200,5
1594101600,5
1594112400,5
1594123200,5
1594188000,5
1594198800,5
1594274400,5
1594288800,5
1594303200,5
1594332000,5
1594357200,5
1594364400,5
1594371600,5
1594382400,5
1594396800,5
1594450800,5
1594458000,5
1594468800,5
1594483200,5
1594540800,5
1594620000,5
1594630800,5
1594702800,5
1594717200,5
1594720800,5
1594731600,5
1594738800,5
