#timestamp, num_keys, num_users_submitted_keys, num_submitted_keys, sum_keys, sum_users_submitted_keys, sum_submitted_keys
1592784000,0,0,0,0,0,0
1592870400,503,10,39,503,10,39
1592956800,720,11,69,1223,21,108
1593043200,1160,19,111,2383,40,219
