date,timestamp,hotline_calls,teleTANs
15.06.2020,1592179200,0,0
05.07.2020,1593907200,146355,-1
06.07.2020,1593993600,-1,388
13.07.2020,1594598400,165934,513
20.07.2020,1595203200,175863,660
27.07.2020,1595808000,183335,792
